text,label
"If you start listening to that music, you'll start dressing like that, and then you'll join a gang.",slippery_slope
"If we allow the park to close early, eventually they’ll turn it into a parking lot.",slippery_slope
"If we let them build one apartment building, the whole suburb will become a crowded slum.",slippery_slope
"If you let your dog sleep on the bed, he’ll think he’s the boss and eventually bite you.",slippery_slope
"If we use AI to write emails, we’ll lose the ability to speak to each other and language will die.",slippery_slope
"If we allow mandatory vaccines, next they’ll be putting tracking chips in our arms.",slippery_slope
"If we raise the minimum wage, every burger will cost $50 and nobody will be able to eat out.",slippery_slope
"If we shorten the work week, productivity will drop, companies will fail, and the Great Depression will return.",slippery_slope
"If we let the kids use calculators, they’ll never learn basic math and the bridges will all fall down.",slippery_slope
"If we allow this merger, one company will eventually own everything and competition will be dead.",slippery_slope
"If we let the city install these lights, they'll eventually use them to track our every move.",slippery_slope
"If you skip one workout, you'll lose all your muscle and be back at square one by Monday.",slippery_slope
"If we allow 24-hour stores, nobody will ever sleep and the health of the nation will collapse.",slippery_slope
"If we let the interns sit in on meetings, eventually they'll be running the board and we'll be fired.",slippery_slope
"If we ban plastic straws, they’ll ban plastic bags, then plastic bottles, until we’re all using glass for everything.",slippery_slope
"If we change the anthem, people will lose their sense of patriotism and the country will dissolve.",slippery_slope
"If we allow a high-speed rail, people will leave the small towns and they'll all become ghost towns.",slippery_slope
"If we give the employees a free lunch, they'll start asking for free cars and houses.",slippery_slope
"If we let this one protest happen, there will be a protest every day and the streets will never be clear.",slippery_slope
"If we use electronic voting, the hackers will pick every president from now until the end of time.",slippery_slope
"If you let him borrow your car once, he’ll treat it like his own and never give it back.",slippery_slope

"Either you're with us or against us.",false_dilemma
"We either build this pipeline immediately or we face total economic ruin by next year.",false_dilemma
"You can either choose a career that makes money or a career that makes you happy; you can't have both.",false_dilemma
"The city must either raise taxes or shut down all the public libraries.",false_dilemma
"Either we go to war now, or we admit that we are a weak and failing nation.",false_dilemma
"Either we drill for oil here, or we stay dependent on foreign energy forever.",false_dilemma
"You either love your country or you hate it; there is no middle ground.",false_dilemma
"Either we cut all social programs, or the national debt will destroy us tomorrow.",false_dilemma
"You either get a high-paying job in tech, or you’ll be poor for the rest of your life.",false_dilemma
"Either we invest in nuclear power, or we have to go back to using candles.",false_dilemma
"You can either have a safe neighborhood or a neighborhood with civil liberties.",false_dilemma
"Either you agree with the manager's decision, or you’re not a team player.",false_dilemma
"We must either expand the airport or watch the city's economy die.",false_dilemma
"You either eat meat or you're a radical vegan; there's nothing in between.",false_dilemma
"Either we pass this bill now, or we admit that the government is completely broken.",false_dilemma
"You’re either a hard worker or a lazy person; which one is it?",false_dilemma
"Either we ban the internet for kids, or they will all be ruined by the age of ten.",false_dilemma
"We either keep the status quo, or we descend into total anarchy.",false_dilemma
"Either you support the strikers, or you’re a corporate bootlicker.",false_dilemma
"You can either have a fun life or a responsible life.",false_dilemma
"Either we go to college right after high school, or we never go at all.",false_dilemma
"We either buy this house today, or we’ll be renting forever.",false_dilemma
"Either you’re part of the solution, or you’re part of the problem.",false_dilemma
"We must either raise the retirement age or the whole system will go bankrupt next year.",false_dilemma
"Either you like this music, or you have no soul.",false_dilemma
"We either allow the development, or we admit we don't want any new jobs in this town.",false_dilemma
"Either you're a morning person, or you're lazy.",false_dilemma
"Either we lower the standards, or no one will ever pass the exam.",false_dilemma
"You can either be a leader or a follower.",false_dilemma
"Either we fix the climate now, or the world ends in ten years.",false_dilemma
"Either you tell the truth, or you’re a traitor to this family.",false_dilemma
"We either build the wall, or we lose our national identity.",false_dilemma
"Either you buy the premium version, or you’re stuck with a useless product.",false_dilemma
"Either we win this game, or the entire season was a waste of time.",false_dilemma
"Either you go to the gym every day, or you’re not really trying to be healthy.",false_dilemma
"We either ban all guns, or we accept that shootings will happen every day.",false_dilemma
"Either you’re on my side, or you’re my enemy.",false_dilemma
"Either we have total surveillance, or we have no security at all.",false_dilemma
"Either you love the city, or you’re a boring person.",false_dilemma
"We either double the budget, or we cancel the project entirely.",false_dilemma
"Either you follow the rules exactly, or you're a rebel.",false_dilemma
"Either we automate everything, or we fall behind our competitors.",false_dilemma
"Either you're a genius, or you're just lucky.",false_dilemma
"We either stay together, or my life is over.",false_dilemma
"Either you support this war, or you’re a coward.",false_dilemma
"Either we use traditional methods, or we risk everything on unproven tech.",false_dilemma
"Either you vote for me, or you vote for disaster.",false_dilemma
"Either we have complete free speech, or we have a North Korean-style regime.",false_dilemma
"Either you’re a fan of this team, or you’re a hater.",false_dilemma
"Either we cut taxes now, or the economy will never recover.",false_dilemma

"We should evaluate the data carefully.",no_fallacy
"While I understand your concerns, the statistics from last year suggest a different trend.",no_fallacy
"I disagree with the proposal because the projected costs exceed our current annual budget.",no_fallacy
"Could you clarify what you mean by 'systemic' in this specific context?",no_fallacy
"The research indicates that a moderate increase in temperature affects crop yields in these three ways.",no_fallacy
"I think we should look at the long-term effects before making a decision.",no_fallacy
"The evidence suggests that the new law has reduced crime by 10%.",no_fallacy
"I understand your point, but I have a different perspective on the matter.",no_fallacy
"Based on the current budget, we can only afford one of these two projects.",no_fallacy
"Could you please provide a source for those statistics?",no_fallacy
"It seems like we agree on the goal, but disagree on the method.",no_fallacy
"The study was conducted over five years and included ten thousand participants.",no_fallacy
"I'm not sure if that's true, let me double-check that fact.",no_fallacy
"While the plan has some flaws, it is an improvement over what we have now.",no_fallacy
"The weather forecast says there is an 80% chance of rain tomorrow.",no_fallacy
"I'm voting for this candidate because I agree with her stance on education.",no_fallacy
"The recipe calls for two cups of flour, but we only have one.",no_fallacy
"If we increase the temperature, the reaction will happen faster.",no_fallacy
"We should consider the environmental impact of this new factory.",no_fallacy
"The traffic is usually heavy at this time of day.",no_fallacy
"I appreciate your feedback and will take it into account.",no_fallacy
"The company's profits have increased by 5% this quarter.",no_fallacy
"We need to find a way to reduce our plastic waste.",no_fallacy
"The doctor recommended that I get more exercise and eat more vegetables.",no_fallacy
"I'm sorry, I didn't realize that my comment was offensive.",no_fallacy
"The book provides a detailed history of the French Revolution.",no_fallacy
"We should wait for the test results before we draw any conclusions.",no_fallacy
"The meeting has been rescheduled for next Tuesday at 10 AM.",no_fallacy
"I'm not an expert on this topic, so I can't give you a definitive answer.",no_fallacy
"The project was completed on time and under budget.",no_fallacy
"We should listen to the experts' opinions on this matter.",no_fallacy
"The data shows a clear correlation between smoking and lung cancer.",no_fallacy
"I'm going to take a break and come back to this later with a fresh mind.",no_fallacy
"The train is running ten minutes behind schedule.",no_fallacy
"We should try to reach a compromise that works for everyone.",no_fallacy
"The price of gold has fluctuated significantly over the past month.",no_fallacy
"I agree that we need to do something about the rising cost of living.",no_fallacy
"The film was well-received by critics and audiences alike.",no_fallacy
"We should be careful not to overcomplicate the issue.",no_fallacy
"The new software update includes several bug fixes and performance improvements.",no_fallacy
"I'm not sure if I agree with your interpretation of the data.",no_fallacy
"The team worked hard and deserved to win the championship.",no_fallacy
"We should focus on the most important tasks first.",no_fallacy
"The study found that there is no significant difference between the two groups.",no_fallacy
"I'm looking forward to hearing your ideas at the meeting tomorrow.",no_fallacy
"The sunset was particularly beautiful this evening.",no_fallacy
"We should make sure that everyone has a chance to speak.",no_fallacy
"The report outlines the strengths and weaknesses of the current system.",no_fallacy
"I'm happy to help you with your project if you need any assistance.",no_fallacy
"The population of the city has grown by 20% over the last decade.",no_fallacy
